stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000379098,9606.ENSP00000419361,CAMK2B,ADCY5,9606,0.728,0,0.0,0.0,0.109,0.063,0.65,0.18
9606.ENSP00000379496,9606.ENSP00000419361,PDE1C,ADCY5,9606,0.876,0,0.0,0.0,0.08,0.0,0.65,0.646
9606.ENSP00000380440,9606.ENSP00000391826,INS-IGF2,IGF2,9606,0.838,0,0.0,0.0,0.086,0.0,0.0,0.83
9606.ENSP00000381185,9606.ENSP00000418915,BCL2,CDKN2A,9606,0.717,0,0.0,0.0,0.0,0.045,0.0,0.716
9606.ENSP00000381382,9606.ENSP00000486891,TCF4,TCF7L2,9606,0.852,0,0.0,0.0,0.067,0.095,0.72,0.449
9606.ENSP00000385780,9606.ENSP00000497642,DGKB,LPL,9606,0.9,0,0.0,0.0,0.0,0.0,0.9,0.0
9606.ENSP00000385780,9606.ENSP00000419361,DGKB,ADCY5,9606,0.928,0,0.0,0.0,0.081,0.0,0.0,0.925
9606.ENSP00000391826,9606.ENSP00000410242,IGF2,IGF2BP2,9606,0.994,0,0.0,0.0,0.056,0.0,0.0,0.994
9606.ENSP00000399888,9606.ENSP00000437621,HMGA1,HMGA2,9606,0.902,0,0.0,0.0,0.14,0.0,0.8,0.478
9606.ENSP00000410242,9606.ENSP00000418915,IGF2BP2,CDKN2A,9606,0.734,0,0.0,0.0,0.049,0.0,0.0,0.732
9606.ENSP00000410242,9606.ENSP00000486891,IGF2BP2,TCF7L2,9606,0.737,0,0.0,0.0,0.082,0.0,0.0,0.726
9606.ENSP00000410242,9606.ENSP00000415011,IGF2BP2,SLC30A8,9606,0.863,0,0.0,0.0,0.0,0.0,0.0,0.863
9606.ENSP00000410242,9606.ENSP00000418823,IGF2BP2,FTO,9606,0.914,0,0.0,0.0,0.047,0.0,0.0,0.914
9606.ENSP00000410242,9606.ENSP00000437621,IGF2BP2,HMGA2,9606,0.996,0,0.0,0.0,0.223,0.0,0.0,0.995
9606.ENSP00000415011,9606.ENSP00000494321,SLC30A8,ABCC8,9606,0.726,0,0.0,0.0,0.071,0.0,0.0,0.717
9606.ENSP00000415011,9606.ENSP00000418823,SLC30A8,FTO,9606,0.814,0,0.0,0.0,0.0,0.0,0.0,0.814
9606.ENSP00000415011,9606.ENSP00000486891,SLC30A8,TCF7L2,9606,0.89,0,0.0,0.0,0.0,0.0,0.0,0.89
9606.ENSP00000418823,9606.ENSP00000486891,FTO,TCF7L2,9606,0.768,0,0.0,0.0,0.042,0.0,0.0,0.767
9606.ENSP00000418915,9606.ENSP00000486891,CDKN2A,TCF7L2,9606,0.778,0,0.0,0.0,0.0,0.0,0.5,0.575
9606.ENSP00000419361,9606.ENSP00000467494,ADCY5,GIPR,9606,0.828,0,0.0,0.0,0.0,0.052,0.0,0.827
9606.ENSP00000422607,9606.ENSP00000482264,ACSL1,DGAT1,9606,0.854,0,0.0,0.0,0.058,0.0,0.0,0.851
9606.ENSP00000422607,9606.ENSP00000497642,ACSL1,LPL,9606,0.928,0,0.0,0.0,0.083,0.0,0.8,0.642
9606.ENSP00000438804,9606.ENSP00000494321,HNF1A,ABCC8,9606,0.835,0,0.0,0.0,0.13,0.0,0.0,0.819
9606.ENSP00000438804,9606.ENSP00000480291,HNF1A,HNF1B,9606,0.961,0,0.0,0.0,0.157,0.805,0.0,0.786
9606.ENSP00000467494,9606.ENSP00000486891,GIPR,TCF7L2,9606,0.802,0,0.0,0.0,0.0,0.0,0.0,0.802
9606.ENSP00000482264,9606.ENSP00000497642,DGAT1,LPL,9606,0.761,0,0.0,0.0,0.0,0.0,0.0,0.761
