drug,n_targets_in_network,n_hub_targets,sum_centrality,mean_centrality,max_centrality,mean_degree,mean_betweenness,mean_closeness,mean_interaction_score,n_communities_hit,max_module_coverage,mean_module_coverage,n_targets_in_network_norm,n_hub_targets_norm,sum_centrality_norm,mean_centrality_norm,n_communities_hit_norm,max_module_coverage_norm,mean_module_coverage_norm,mean_interaction_score_norm,hub_component,centrality_component,module_component,evidence_component,drug_score
MEXILETINE,1,1,0.2312218007833804,0.2312218007833804,0.2312218007833804,0.0864197530864197,0.2819444444444444,0.3253012048192771,0.596678082,1,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.23227496511440018,0.5836864541473975,0.0,0.09523809523809525,0.09523809523809525,0.011258896841550518,0.3333333333333333,0.29124341880141935,0.04761904761904762,0.011258896841550518,0.24325078855312146
DISOPYRAMIDE,1,1,0.2312218007833804,0.2312218007833804,0.2312218007833804,0.0864197530864197,0.2819444444444444,0.3253012048192771,0.596678082,1,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.23227496511440018,0.5836864541473975,0.0,0.09523809523809525,0.09523809523809525,0.011258896841550518,0.3333333333333333,0.29124341880141935,0.04761904761904762,0.011258896841550518,0.24325078855312146
PROCAINAMIDE,1,1,0.2312218007833804,0.2312218007833804,0.2312218007833804,0.0864197530864197,0.2819444444444444,0.3253012048192771,0.4475085616678508,1,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.23227496511440018,0.5836864541473975,0.0,0.09523809523809525,0.09523809523809525,0.008417686779278203,0.3333333333333333,0.29124341880141935,0.04761904761904762,0.008417686779278203,0.24310872805000786
PILSICAINIDE,1,1,0.2312218007833804,0.2312218007833804,0.2312218007833804,0.0864197530864197,0.2819444444444444,0.3253012048192771,0.3977853881492006,1,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.23227496511440018,0.5836864541473975,0.0,0.09523809523809525,0.09523809523809525,0.007470616757099861,0.3333333333333333,0.29124341880141935,0.04761904761904762,0.007470616757099861,0.24306137454889892
AZD7009,1,1,0.2312218007833804,0.2312218007833804,0.2312218007833804,0.0864197530864197,0.2819444444444444,0.3253012048192771,0.2983390411119005,1,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.23227496511440018,0.5836864541473975,0.0,0.09523809523809525,0.09523809523809525,0.005576476712743183,0.3333333333333333,0.29124341880141935,0.04761904761904762,0.005576476712743183,0.2429666675466811
FLECAINIDE ACETATE,1,1,0.2312218007833804,0.2312218007833804,0.2312218007833804,0.0864197530864197,0.2819444444444444,0.3253012048192771,0.2386712328895204,1,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.23227496511440018,0.5836864541473975,0.0,0.09523809523809525,0.09523809523809525,0.004439992686129175,0.3333333333333333,0.29124341880141935,0.04761904761904762,0.004439992686129175,0.2429098433453504
PROPAFENONE,1,1,0.2312218007833804,0.2312218007833804,0.2312218007833804,0.0864197530864197,0.2819444444444444,0.3253012048192771,0.2169738480813822,1,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.23227496511440018,0.5836864541473975,0.0,0.09523809523809525,0.09523809523809525,0.004026725767360446,0.3333333333333333,0.29124341880141935,0.04761904761904762,0.004026725767360446,0.24288917999941195
APRINDINE,1,1,0.2312218007833804,0.2312218007833804,0.2312218007833804,0.0864197530864197,0.2819444444444444,0.3253012048192771,0.1988926940746003,1,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.23227496511440018,0.5836864541473975,0.0,0.09523809523809525,0.09523809523809525,0.0036823366683865033,0.3333333333333333,0.29124341880141935,0.04761904761904762,0.0036823366683865033,0.24287196054446325
PRENYLAMINE,1,1,0.2312218007833804,0.2312218007833804,0.2312218007833804,0.0864197530864197,0.2819444444444444,0.3253012048192771,0.1988926940746003,1,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.23227496511440018,0.5836864541473975,0.0,0.09523809523809525,0.09523809523809525,0.0036823366683865033,0.3333333333333333,0.29124341880141935,0.04761904761904762,0.0036823366683865033,0.24287196054446325
CISAPRIDE,1,1,0.2312218007833804,0.2312218007833804,0.2312218007833804,0.0864197530864197,0.2819444444444444,0.3253012048192771,0.1704794520639431,1,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.23227496511440018,0.5836864541473975,0.0,0.09523809523809525,0.09523809523809525,0.0031411537985703087,0.3333333333333333,0.29124341880141935,0.04761904761904762,0.0031411537985703087,0.24284490140097245
LOMERIZINE,1,1,0.2312218007833804,0.2312218007833804,0.2312218007833804,0.0864197530864197,0.2819444444444444,0.3253012048192771,0.1491695205559502,1,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.23227496511440018,0.5836864541473975,0.0,0.09523809523809525,0.09523809523809525,0.002735266646208163,0.3333333333333333,0.29124341880141935,0.04761904761904762,0.002735266646208163,0.24282460704335435
AZD1305,1,1,0.2312218007833804,0.2312218007833804,0.2312218007833804,0.0864197530864197,0.2819444444444444,0.3253012048192771,0.099446347,1,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.23227496511440018,0.5836864541473975,0.0,0.09523809523809525,0.09523809523809525,0.001788196623319373,0.3333333333333333,0.29124341880141935,0.04761904761904762,0.001788196623319373,0.24277725354220991
BEPRIDIL,1,1,0.2312218007833804,0.2312218007833804,0.2312218007833804,0.0864197530864197,0.2819444444444444,0.3253012048192771,0.099446347,1,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.23227496511440018,0.5836864541473975,0.0,0.09523809523809525,0.09523809523809525,0.001788196623319373,0.3333333333333333,0.29124341880141935,0.04761904761904762,0.001788196623319373,0.24277725354220991
QUINIDINE,1,1,0.2312218007833804,0.2312218007833804,0.2312218007833804,0.0864197530864197,0.2819444444444444,0.3253012048192771,0.089501712,1,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.23227496511440018,0.5836864541473975,0.0,0.09523809523809525,0.09523809523809525,0.0015987826132406937,0.3333333333333333,0.29124341880141935,0.04761904761904762,0.0015987826132406937,0.24276778284170597
SAFINAMIDE,1,1,0.2312218007833804,0.2312218007833804,0.2312218007833804,0.0864197530864197,0.2819444444444444,0.3253012048192771,0.03729238,1,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.23227496511440018,0.5836864541473975,0.0,0.09523809523809525,0.09523809523809525,0.0006043590936596231,0.3333333333333333,0.29124341880141935,0.04761904761904762,0.0006043590936596231,0.2427180616657269
CLOMIPRAMINE,1,1,0.2312218007833804,0.2312218007833804,0.2312218007833804,0.0864197530864197,0.2819444444444444,0.3253012048192771,0.03140411,1,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.23227496511440018,0.5836864541473975,0.0,0.09523809523809525,0.09523809523809525,0.0004922060751601022,0.3333333333333333,0.29124341880141935,0.04761904761904762,0.0004922060751601022,0.24271245401480193
LITHIUM,1,1,0.2312218007833804,0.2312218007833804,0.2312218007833804,0.0864197530864197,0.2819444444444444,0.3253012048192771,0.014206621,1,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.23227496511440018,0.5836864541473975,0.0,0.09523809523809525,0.09523809523809525,0.0001646480144797482,0.3333333333333333,0.29124341880141935,0.04761904761904762,0.0001646480144797482,0.2426960761117679
MENINGOCOCCAL GROUP B VACCINE,1,1,0.1833290882793878,0.1833290882793878,0.1833290882793878,0.1234567901234567,0.0649233318575639,0.3616071428571428,26.25383561784724,1,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.15886375529241756,0.3992105734404105,0.0,0.18571428571428572,0.18571428571428572,0.4999470282898365,0.3333333333333333,0.1991950496783319,0.09285714285714286,0.4999470282898365,0.23991346652391982
ESTRADIOL VALERATE,2,1,0.2877939412527674,0.1438969706263837,0.1862057907275933,0.08024691358024685,0.02280217958488345,0.3286418187140209,0.20614713899999998,1,0.10526315789473684,0.10526315789473684,0.25,0.3333333333333333,0.31899023048448394,0.24732369437560434,0.0,0.08571428571428573,0.08571428571428573,0.0038205110211118544,0.3333333333333333,0.28369222355492324,0.042857142857142864,0.0038205110211118544,0.23890601021112012
FLUOROURACIL,4,0,0.386719363317674,0.0966798408294185,0.1033799322198015,0.021604938271604875,0.005448087854814401,0.2629864963618362,0.0855588618442169,2,0.2222222222222222,0.16374269005847952,0.75,0.0,0.4706257202331513,0.0654500616590376,0.5,0.2761904761904762,0.18095238095238098,0.0015236837223164697,0.0,0.40494787861428694,0.36904761904761907,0.0015236837223164697,0.23586485944135444
APRAMIDE A,1,1,0.2206464552073358,0.2206464552073358,0.2206464552073358,0.2098765432098765,0.0787909330112093,0.3732718894009216,2.763561643983921,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.21606479716957425,0.5429517350863519,0.0,0.05,0.05,0.05253121149653247,0.3333333333333333,0.2709179191106927,0.025,0.05253121149653247,0.23266039488577037
ATECEGATRAN METOXIL,1,1,0.2206464552073358,0.2206464552073358,0.2206464552073358,0.2098765432098765,0.0787909330112093,0.3732718894009216,2.763561643983921,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.21606479716957425,0.5429517350863519,0.0,0.05,0.05,0.05253121149653247,0.3333333333333333,0.2709179191106927,0.025,0.05253121149653247,0.23266039488577037
BIVALIRUDIN,1,1,0.2206464552073358,0.2206464552073358,0.2206464552073358,0.2098765432098765,0.0787909330112093,0.3732718894009216,2.763561643983921,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.21606479716957425,0.5429517350863519,0.0,0.05,0.05,0.05253121149653247,0.3333333333333333,0.2709179191106927,0.025,0.05253121149653247,0.23266039488577037
CAPLACIZUMAB-YHDP,1,1,0.2137830817617182,0.2137830817617182,0.2137830817617182,0.1975308641975308,0.0805896815360542,0.3632286995515695,8.290684931951763,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.20554443777124504,0.5165150019216621,0.0,0.05,0.05,0.15780552133025108,0.3333333333333333,0.2577267194621211,0.025,0.15780552133025108,0.23264763051802767
SUNITINIB,2,1,0.2756777067307205,0.13783885336536025,0.172297774510919,0.04938271604938265,0.01670737345846275,0.3474264705882353,0.1368184582125421,1,0.10526315789473684,0.10526315789473684,0.25,0.3333333333333333,0.30041814742119566,0.2239886928957793,0.0,0.08571428571428573,0.08571428571428573,0.0025000177660635726,0.3333333333333333,0.2674056815793316,0.042857142857142864,0.0025000177660635726,0.232325368758131
LEUCOVORIN CALCIUM,2,1,0.2756777067307205,0.13783885336536025,0.172297774510919,0.04938271604938265,0.01670737345846275,0.3474264705882353,0.06842215834333445,1,0.10526315789473684,0.10526315789473684,0.25,0.3333333333333333,0.30041814742119566,0.2239886928957793,0.0,0.08571428571428573,0.08571428571428573,0.0011972834341579318,0.3333333333333333,0.2674056815793316,0.042857142857142864,0.0011972834341579318,0.23226023204153573
SORAFENIB,2,1,0.2756777067307205,0.13783885336536025,0.172297774510919,0.04938271604938265,0.01670737345846275,0.3474264705882353,0.048115582000000004,1,0.10526315789473684,0.10526315789473684,0.25,0.3333333333333333,0.30041814742119566,0.2239886928957793,0.0,0.08571428571428573,0.08571428571428573,0.0008105070410414606,0.3333333333333333,0.2674056815793316,0.042857142857142864,0.0008105070410414606,0.2322408932218799
XIMELAGATRAN,1,1,0.2206464552073358,0.2206464552073358,0.2206464552073358,0.2098765432098765,0.0787909330112093,0.3732718894009216,2.072671233,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.21606479716957425,0.5429517350863519,0.0,0.05,0.05,0.03937192276754733,0.3333333333333333,0.2709179191106927,0.025,0.03937192276754733,0.2320024304493211
DABIGATRAN ETEXILATE MESYLATE,1,1,0.2206464552073358,0.2206464552073358,0.2206464552073358,0.2098765432098765,0.0787909330112093,0.3732718894009216,1.381780822,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.21606479716957425,0.5429517350863519,0.0,0.05,0.05,0.026212634038255935,0.3333333333333333,0.2709179191106927,0.025,0.026212634038255935,0.23134446601285652
HIRUDIN,1,1,0.2206464552073358,0.2206464552073358,0.2206464552073358,0.2098765432098765,0.0787909330112093,0.3732718894009216,1.381780822,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.21606479716957425,0.5429517350863519,0.0,0.05,0.05,0.026212634038255935,0.3333333333333333,0.2709179191106927,0.025,0.026212634038255935,0.23134446601285652
PEGMUSIRUDIN,1,1,0.2206464552073358,0.2206464552073358,0.2206464552073358,0.2098765432098765,0.0787909330112093,0.3732718894009216,1.381780822,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.21606479716957425,0.5429517350863519,0.0,0.05,0.05,0.026212634038255935,0.3333333333333333,0.2709179191106927,0.025,0.026212634038255935,0.23134446601285652
ODIPARCIL,1,1,0.2206464552073358,0.2206464552073358,0.2206464552073358,0.2098765432098765,0.0787909330112093,0.3732718894009216,1.381780822,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.21606479716957425,0.5429517350863519,0.0,0.05,0.05,0.026212634038255935,0.3333333333333333,0.2709179191106927,0.025,0.026212634038255935,0.23134446601285652
AZD-8165,1,1,0.2206464552073358,0.2206464552073358,0.2206464552073358,0.2098765432098765,0.0787909330112093,0.3732718894009216,1.381780822,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.21606479716957425,0.5429517350863519,0.0,0.05,0.05,0.026212634038255935,0.3333333333333333,0.2709179191106927,0.025,0.026212634038255935,0.23134446601285652
EP-217609,1,1,0.2206464552073358,0.2206464552073358,0.2206464552073358,0.2098765432098765,0.0787909330112093,0.3732718894009216,1.381780822,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.21606479716957425,0.5429517350863519,0.0,0.05,0.05,0.026212634038255935,0.3333333333333333,0.2709179191106927,0.025,0.026212634038255935,0.23134446601285652
FLOVAGATRAN,1,1,0.2206464552073358,0.2206464552073358,0.2206464552073358,0.2098765432098765,0.0787909330112093,0.3732718894009216,1.381780822,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.21606479716957425,0.5429517350863519,0.0,0.05,0.05,0.026212634038255935,0.3333333333333333,0.2709179191106927,0.025,0.026212634038255935,0.23134446601285652
CHEMBL:CHEMBL586628,1,1,0.2206464552073358,0.2206464552073358,0.2206464552073358,0.2098765432098765,0.0787909330112093,0.3732718894009216,1.381780822,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.21606479716957425,0.5429517350863519,0.0,0.05,0.05,0.026212634038255935,0.3333333333333333,0.2709179191106927,0.025,0.026212634038255935,0.23134446601285652
CHEMBL:CHEMBL1083499,1,1,0.2206464552073358,0.2206464552073358,0.2206464552073358,0.2098765432098765,0.0787909330112093,0.3732718894009216,1.381780822,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.21606479716957425,0.5429517350863519,0.0,0.05,0.05,0.026212634038255935,0.3333333333333333,0.2709179191106927,0.025,0.026212634038255935,0.23134446601285652
DPOC-4088,1,1,0.2206464552073358,0.2206464552073358,0.2206464552073358,0.2098765432098765,0.0787909330112093,0.3732718894009216,1.381780822,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.21606479716957425,0.5429517350863519,0.0,0.05,0.05,0.026212634038255935,0.3333333333333333,0.2709179191106927,0.025,0.026212634038255935,0.23134446601285652
ICHORCUMAB,1,1,0.2206464552073358,0.2206464552073358,0.2206464552073358,0.2098765432098765,0.0787909330112093,0.3732718894009216,1.381780822,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.21606479716957425,0.5429517350863519,0.0,0.05,0.05,0.026212634038255935,0.3333333333333333,0.2709179191106927,0.025,0.026212634038255935,0.23134446601285652
CYANIDIN,1,1,0.2206464552073358,0.2206464552073358,0.2206464552073358,0.2098765432098765,0.0787909330112093,0.3732718894009216,1.381780822,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.21606479716957425,0.5429517350863519,0.0,0.05,0.05,0.026212634038255935,0.3333333333333333,0.2709179191106927,0.025,0.026212634038255935,0.23134446601285652
ARGATROBAN,1,1,0.2206464552073358,0.2206464552073358,0.2206464552073358,0.2098765432098765,0.0787909330112093,0.3732718894009216,1.381780822,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.21606479716957425,0.5429517350863519,0.0,0.05,0.05,0.026212634038255935,0.3333333333333333,0.2709179191106927,0.025,0.026212634038255935,0.23134446601285652
CYANIN,1,1,0.2206464552073358,0.2206464552073358,0.2206464552073358,0.2098765432098765,0.0787909330112093,0.3732718894009216,1.381780822,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.21606479716957425,0.5429517350863519,0.0,0.05,0.05,0.026212634038255935,0.3333333333333333,0.2709179191106927,0.025,0.026212634038255935,0.23134446601285652
SR-123781A,1,1,0.2206464552073358,0.2206464552073358,0.2206464552073358,0.2098765432098765,0.0787909330112093,0.3732718894009216,0.6908904109959803,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.21606479716957425,0.5429517350863519,0.0,0.05,0.05,0.013053345308887973,0.3333333333333333,0.2709179191106927,0.025,0.013053345308887973,0.23068650157638815
DABIGATRAN,1,1,0.2206464552073358,0.2206464552073358,0.2206464552073358,0.2098765432098765,0.0787909330112093,0.3732718894009216,0.6141248097742047,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.21606479716957425,0.5429517350863519,0.0,0.05,0.05,0.011591202116752993,0.3333333333333333,0.2709179191106927,0.025,0.011591202116752993,0.2306133944167814
PYRIDOXAL PHOSPHATE ANHYDROUS,1,1,0.2206464552073358,0.2206464552073358,0.2206464552073358,0.2098765432098765,0.0787909330112093,0.3732718894009216,0.4605936073306534,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.21606479716957425,0.5429517350863519,0.0,0.05,0.05,0.008666915732483028,0.3333333333333333,0.2709179191106927,0.025,0.008666915732483028,0.2304671800975679
ENOXAPARIN SODIUM,1,1,0.2206464552073358,0.2206464552073358,0.2206464552073358,0.2098765432098765,0.0787909330112093,0.3732718894009216,0.3454452054979901,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.21606479716957425,0.5429517350863519,0.0,0.05,0.05,0.006473700944280559,0.3333333333333333,0.2709179191106927,0.025,0.006473700944280559,0.23035751935815776
ANISINDIONE,1,1,0.2206464552073358,0.2206464552073358,0.2206464552073358,0.2098765432098765,0.0787909330112093,0.3732718894009216,0.2302968036653267,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.21606479716957425,0.5429517350863519,0.0,0.05,0.05,0.004280486156078087,0.3333333333333333,0.2709179191106927,0.025,0.004280486156078087,0.23024785861874764
COMPOUND 2C [PMID: 24900538],1,1,0.2206464552073358,0.2206464552073358,0.2206464552073358,0.2098765432098765,0.0787909330112093,0.3732718894009216,0.138178082,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.21606479716957425,0.5429517350863519,0.0,0.05,0.05,0.0025259143217220524,0.3333333333333333,0.2709179191106927,0.025,0.0025259143217220524,0.23016013002702984
SILIBININ,1,1,0.2206464552073358,0.2206464552073358,0.2206464552073358,0.2098765432098765,0.0787909330112093,0.3732718894009216,0.1151484018326633,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.21606479716957425,0.5429517350863519,0.0,0.05,0.05,0.002087271367875614,0.3333333333333333,0.2709179191106927,0.025,0.002087271367875614,0.2301381978793375
CATECHIN,1,1,0.2206464552073358,0.2206464552073358,0.2206464552073358,0.2098765432098765,0.0787909330112093,0.3732718894009216,0.106290832,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.21606479716957425,0.5429517350863519,0.0,0.05,0.05,0.0019185625292348104,0.3333333333333333,0.2709179191106927,0.025,0.0019185625292348104,0.2301297624374055
EGAPTIVON PEGOL,1,1,0.2137830817617182,0.2137830817617182,0.2137830817617182,0.1975308641975308,0.0805896815360542,0.3632286995515695,5.527123287967842,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.20554443777124504,0.5165150019216621,0.0,0.05,0.05,0.10516836641339179,0.3333333333333333,0.2577267194621211,0.025,0.10516836641339179,0.2300157727721847
ALICAFORSEN,1,1,0.2030667464397885,0.2030667464397885,0.2030667464397885,0.1234567901234567,0.0787082733165118,0.4070351758793969,17.50255707856483,1,0.05263157894736842,0.05263157894736842,0.0,0.3333333333333333,0.18911815703437257,0.4752372105186471,0.0,0.0,0.0,0.3332627043864488,0.3333333333333333,0.2371302416727804,0.0,0.3332627043864488,0.22818189855510126
VONICOG ALFA,1,1,0.2137830817617182,0.2137830817617182,0.2137830817617182,0.1975308641975308,0.0805896815360542,0.3632286995515695,2.763561643983921,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.20554443777124504,0.5165150019216621,0.0,0.05,0.05,0.05253121149653247,0.3333333333333333,0.2577267194621211,0.025,0.05253121149653247,0.22738391502634175
TNP-470,1,1,0.2137830817617182,0.2137830817617182,0.2137830817617182,0.1975308641975308,0.0805896815360542,0.3632286995515695,2.763561643983921,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.20554443777124504,0.5165150019216621,0.0,0.05,0.05,0.05253121149653247,0.3333333333333333,0.2577267194621211,0.025,0.05253121149653247,0.22738391502634175
ACETYLCYSTEINE,1,1,0.2137830817617182,0.2137830817617182,0.2137830817617182,0.1975308641975308,0.0805896815360542,0.3632286995515695,0.3684748858645228,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.20554443777124504,0.5165150019216621,0.0,0.05,0.05,0.006912343901921053,0.3333333333333333,0.2577267194621211,0.025,0.006912343901921053,0.22510297164661117
PHENYLEPHRINE,1,1,0.2137830817617182,0.2137830817617182,0.2137830817617182,0.1975308641975308,0.0805896815360542,0.3632286995515695,0.3454452054979901,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.20554443777124504,0.5165150019216621,0.0,0.05,0.05,0.006473700944280559,0.3333333333333333,0.2577267194621211,0.025,0.006473700944280559,0.22508103949872915
METHYLENE BLUE ANHYDROUS,1,1,0.2137830817617182,0.2137830817617182,0.2137830817617182,0.1975308641975308,0.0805896815360542,0.3632286995515695,0.290901226,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.20554443777124504,0.5165150019216621,0.0,0.05,0.05,0.005434809734863264,0.3333333333333333,0.2577267194621211,0.025,0.005434809734863264,0.2250290949382583
MITOMYCIN,1,1,0.2137830817617182,0.2137830817617182,0.2137830817617182,0.1975308641975308,0.0805896815360542,0.3632286995515695,0.2302968036653267,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.20554443777124504,0.5165150019216621,0.0,0.05,0.05,0.004280486156078087,0.3333333333333333,0.2577267194621211,0.025,0.004280486156078087,0.22497137875931902
TYROSINE KINASE INHIBITOR,1,1,0.2137830817617182,0.2137830817617182,0.2137830817617182,0.1975308641975308,0.0805896815360542,0.3632286995515695,0.2125816649218401,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.20554443777124504,0.5165150019216621,0.0,0.05,0.05,0.003943068496354631,0.3333333333333333,0.2577267194621211,0.025,0.003943068496354631,0.22495450787633287
MB-28767,3,0,0.41989325951467316,0.13996441983822439,0.1447431617691939,0.09053497942386828,0.0018350725063687665,0.3275232075844361,0.3014897908724845,1,0.375,0.375,0.5,0.0,0.5214755411558555,0.23217607102872942,0.0,0.5250000000000001,0.5250000000000001,0.00563648858315438,0.0,0.4303905918865466,0.26250000000000007,0.00563648858315438,0.2249380611837764
PENTOXIFYLLINE,1,1,0.2137830817617182,0.2137830817617182,0.2137830817617182,0.1975308641975308,0.0805896815360542,0.3632286995515695,0.1579178082276526,1,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.20554443777124504,0.5165150019216621,0.0,0.05,0.05,0.0029018940034936766,0.3333333333333333,0.2577267194621211,0.025,0.0029018940034936766,0.2249024491516898
CARBACYCLIN,3,0,0.41989325951467316,0.13996441983822439,0.1447431617691939,0.09053497942386828,0.0018350725063687665,0.3275232075844361,0.22611734323803168,1,0.375,0.375,0.5,0.0,0.5214755411558555,0.23217607102872942,0.0,0.5250000000000001,0.5250000000000001,0.004200880583877689,0.0,0.4303905918865466,0.26250000000000007,0.004200880583877689,0.22486628078381257
U46619,3,0,0.41989325951467316,0.13996441983822439,0.1447431617691939,0.09053497942386828,0.0018350725063687665,0.3275232075844361,0.20099319391498968,1,0.375,0.375,0.5,0.0,0.5214755411558555,0.23217607102872942,0.0,0.5250000000000001,0.5250000000000001,0.0037223445819939685,0.0,0.4303905918865466,0.26250000000000007,0.0037223445819939685,0.22484235398371838
ILOPROST,3,0,0.41989325951467316,0.13996441983822439,0.1447431617691939,0.09053497942386828,0.0018350725063687665,0.3275232075844361,0.15074489543624223,1,0.375,0.375,0.5,0.0,0.5214755411558555,0.23217607102872942,0.0,0.5250000000000001,0.5250000000000001,0.002765272581413762,0.0,0.4303905918865466,0.26250000000000007,0.002765272581413762,0.22479450038368937
DINOPROST,3,0,0.41989325951467316,0.13996441983822439,0.1447431617691939,0.09053497942386828,0.0018350725063687665,0.3275232075844361,0.11305867145234916,1,0.375,0.375,0.5,0.0,0.5214755411558555,0.23217607102872942,0.0,0.5250000000000001,0.5250000000000001,0.0020474685786009404,0.0,0.4303905918865466,0.26250000000000007,0.0020474685786009404,0.22475861018354873
DINOPROSTONE,3,0,0.41989325951467316,0.13996441983822439,0.1447431617691939,0.09053497942386828,0.0018350725063687665,0.3275232075844361,0.090446937,1,0.375,0.375,0.5,0.0,0.5214755411558555,0.23217607102872942,0.0,0.5250000000000001,0.5250000000000001,0.0016167861757320895,0.0,0.4303905918865466,0.26250000000000007,0.0016167861757320895,0.2247370760634053
BI-505,1,1,0.2030667464397885,0.2030667464397885,0.2030667464397885,0.1234567901234567,0.0787082733165118,0.4070351758793969,13.12691780892362,1,0.05263157894736842,0.05263157894736842,0.0,0.3333333333333333,0.18911815703437257,0.4752372105186471,0.0,0.0,0.0,0.2499205424347548,0.3333333333333333,0.2371302416727804,0.0,0.2499205424347548,0.22401479045751657
ENLIMOMAB,1,1,0.2030667464397885,0.2030667464397885,0.2030667464397885,0.1234567901234567,0.0787082733165118,0.4070351758793969,8.751278539282415,1,0.05263157894736842,0.05263157894736842,0.0,0.3333333333333333,0.18911815703437257,0.4752372105186471,0.0,0.0,0.0,0.16657838048306095,0.3333333333333333,0.2371302416727804,0.0,0.16657838048306095,0.21984768235993188
ENLIMOMAB PEGOL,1,1,0.2030667464397885,0.2030667464397885,0.2030667464397885,0.1234567901234567,0.0787082733165118,0.4070351758793969,8.751278539282415,1,0.05263157894736842,0.05263157894736842,0.0,0.3333333333333333,0.18911815703437257,0.4752372105186471,0.0,0.0,0.0,0.16657838048306095,0.3333333333333333,0.2371302416727804,0.0,0.16657838048306095,0.21984768235993188
ECULIZUMAB,1,1,0.1833290882793878,0.1833290882793878,0.1833290882793878,0.1234567901234567,0.0649233318575639,0.3616071428571428,4.773424657790409,1,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.15886375529241756,0.3992105734404105,0.0,0.18571428571428572,0.18571428571428572,0.0908127787087938,0.3333333333333333,0.1991950496783319,0.09285714285714286,0.0908127787087938,0.21945675404486767
LIFITEGRAST,1,1,0.2030667464397885,0.2030667464397885,0.2030667464397885,0.1234567901234567,0.0787082733165118,0.4070351758793969,6.563458904461812,1,0.05263157894736842,0.05263157894736842,0.0,0.3333333333333333,0.18911815703437257,0.4752372105186471,0.0,0.0,0.0,0.12490729950721402,0.3333333333333333,0.2371302416727804,0.0,0.12490729950721402,0.21776412831113953
