drug,n_targets_in_network,n_hub_targets,sum_centrality,mean_centrality,max_centrality,mean_degree,mean_betweenness,mean_closeness,mean_interaction_score,n_communities_hit,max_module_coverage,mean_module_coverage,n_targets_in_network_norm,n_hub_targets_norm,sum_centrality_norm,mean_centrality_norm,n_communities_hit_norm,max_module_coverage_norm,mean_module_coverage_norm,mean_interaction_score_norm,hub_component,centrality_component,module_component,evidence_component,drug_score
EPICATECHIN,2,2,0.3929442297182548,0.1964721148591274,0.2206464552073358,0.1481481481481481,0.056102839964067404,0.38516535646516664,0.1973972600541058,2,0.08333333333333333,0.06798245614035087,0.25,0.6666666666666666,0.48016735923321324,0.44983563259216935,0.5,0.05,0.02499999999999999,0.0036538533550592722,0.6666666666666666,0.42503436939425737,0.27,0.0036538533550592722,0.45752977375878917
WARFARIN,2,2,0.3746527279626201,0.18732636398131006,0.2137830817617182,0.14814814814814808,0.0568919186953219,0.35693902510046005,0.6141248095322674,2,0.08333333333333333,0.06798245614035087,0.25,0.6666666666666666,0.45212966407802413,0.4146075079005181,0.5,0.05,0.02499999999999999,0.011591202112144849,0.6666666666666666,0.4004470844091675,0.27,0.011591202112144849,0.44809172720260754
ASPIRIN,2,2,0.3420415990752741,0.17102079953763705,0.172297774510919,0.11111111111111105,0.02960213324782375,0.3723491542539762,0.1994972312294131,2,0.125,0.08881578947368421,0.25,0.6666666666666666,0.4021424676944177,0.3518008050870087,0.5,0.11785714285714288,0.05892857142857144,0.0036938511992601498,0.6666666666666666,0.35661147537331145,0.29714285714285715,0.0036938511992601498,0.43559118747119235
PLASMIN,4,1,0.6285517350697448,0.1571379337674362,0.175801231537243,0.13888888888888884,0.006636783003676725,0.32588812940974304,1.0054736016521315,1,0.3333333333333333,0.3333333333333333,0.75,0.3333333333333333,0.8413127424593193,0.298325991158247,0.0,0.4571428571428572,0.4571428571428572,0.01904516538529372,0.3333333333333333,0.6601541685771338,0.2285714285714286,0.01904516538529372,0.4273948780810706
INTERFERON ALFA-2B,3,1,0.5421861376397008,0.18072871254656694,0.2665861073578441,0.09053497942386823,0.10388330107297529,0.34776785714285713,0.5719373000648614,2,0.1111111111111111,0.10818713450292397,0.5,0.3333333333333333,0.7089292823700774,0.3891942979279051,0.5,0.09523809523809525,0.09047619047619049,0.010787662782299801,0.3333333333333333,0.5712229305634102,0.2966666666666667,0.010787662782299801,0.4050285553644791
PEGINTERFERON ALFA-2A,3,1,0.5421861376397008,0.18072871254656694,0.2665861073578441,0.09053497942386823,0.10388330107297529,0.34776785714285713,0.28842473252854317,2,0.1111111111111111,0.10818713450292397,0.5,0.3333333333333333,0.7089292823700774,0.3891942979279051,0.5,0.09523809523809525,0.09047619047619049,0.005387640325492049,0.3333333333333333,0.5712229305634102,0.2966666666666667,0.005387640325492049,0.4047585542416387
ANTIDEPRESSANT AGENT,2,1,0.48905951727558306,0.24452975863779153,0.3393030571873309,0.19135802469135796,0.16695014177673934,0.37528110944527737,0.041451679500000005,2,0.125,0.10416666666666666,0.25,0.3333333333333333,0.627495400871761,0.6349468049867719,0.5,0.11785714285714288,0.08392857142857144,0.0006835806636230502,0.3333333333333333,0.5542317419319122,0.30214285714285716,0.0006835806636230502,0.3988221139011841
RITUXIMAB,4,1,0.608040233827609,0.15201005845690224,0.2665861073578441,0.074074074074074,0.05663586370254418,0.32532023759408857,0.26994622188062956,1,0.21052631578947367,0.21052631578947367,0.75,0.3333333333333333,0.8098721736812455,0.2785741486626375,0.0,0.2571428571428572,0.2571428571428572,0.005035682832622488,0.3333333333333333,0.638508331439414,0.1285714285714286,0.005035682832622488,0.39803606909834904
RITONAVIR,2,1,0.4840462189565248,0.2420231094782624,0.3393030571873309,0.17283950617283944,0.16713752005239685,0.38609230220955093,0.12232168786240671,1,0.25,0.25,0.25,0.3333333333333333,0.6198108853043895,0.6252915508332508,0.0,0.3214285714285715,0.3214285714285715,0.0022238998989715336,0.3333333333333333,0.5474929079021701,0.16071428571428575,0.0022238998989715336,0.36791788196534037
HYDROCHLOROTHIAZIDE,3,1,0.431708377638484,0.14390279254616134,0.172297774510919,0.061728395061728336,0.04689285298807807,0.3230871295886775,0.2744966249942132,2,0.2222222222222222,0.13742690058479531,0.5,0.3333333333333333,0.5395860650813125,0.24734611957815042,0.5,0.2761904761904762,0.1380952380952381,0.005122353695979301,0.3333333333333333,0.44399686841410135,0.36047619047619045,0.005122353695979301,0.36661676981234426
TAMOXIFEN,3,1,0.4460801060269875,0.1486933686756625,0.2206464552073358,0.09876543209876537,0.026877640621454566,0.32043703330676765,0.05191891066666667,2,0.16666666666666666,0.10964912280701754,0.5,0.3333333333333333,0.5616154284869668,0.26579873385657365,0.5,0.18571428571428572,0.09285714285714286,0.0008829484865445415,0.3333333333333333,0.4605473344004555,0.3242857142857143,0.0008829484865445415,0.36578689070831893
THALIDOMIDE,3,1,0.4578658446457191,0.1526219482152397,0.2137830817617182,0.09465020576131679,0.0378163340594379,0.3253993048249643,0.14042025316187243,2,0.10526315789473684,0.09429824561403508,0.5,0.3333333333333333,0.5796809187340397,0.2809310605217325,0.5,0.08571428571428573,0.06785714285714285,0.002568620628293689,0.3333333333333333,0.4741197775235396,0.28928571428571426,0.002568620628293689,0.36430015156464
RECOMBINANT CYTOKINE,2,1,0.4205611406676366,0.2102805703338183,0.3393030571873309,0.12962962962962957,0.1653891000053657,0.3358229813664596,2.071754932757481,2,0.125,0.08881578947368421,0.25,0.3333333333333333,0.5224992869596092,0.5030238287020568,0.5,0.11785714285714288,0.05892857142857144,0.03935447013068619,0.3333333333333333,0.46215679209042165,0.29714285714285715,0.03935447013068619,0.36292567843794105
NICOTINE POLACRILEX,2,1,0.4189910778698994,0.2094955389349497,0.3393030571873309,0.1358024691358024,0.16978357384428394,0.32290057382476267,0.056502185499999996,2,0.125,0.11805555555555555,0.25,0.3333333333333333,0.5200926533936202,0.5000000000000001,0.5,0.11785714285714288,0.10654761904761906,0.0009702454527453476,0.3333333333333333,0.4600463266968101,0.3066666666666667,0.0009702454527453476,0.36206704295136133
ALFIMEPRASE,3,1,0.4787952749814926,0.15959842499383087,0.175801231537243,0.13991769547325097,0.0078083494906532,0.3310692300175884,3.2971988839922637,1,0.25,0.25,0.5,0.3333333333333333,0.6117621002228926,0.307803451553148,0.0,0.3214285714285715,0.3214285714285715,0.0626953220503435,0.3333333333333333,0.49822208557739067,0.16071428571428575,0.0626953220503435,0.35123312414299723
TIROFIBAN,3,1,0.4787952749814926,0.15959842499383087,0.175801231537243,0.13991769547325097,0.0078083494906532,0.3310692300175884,1.9783193303953581,1,0.25,0.25,0.5,0.3333333333333333,0.6117621002228926,0.307803451553148,0.0,0.3214285714285715,0.3214285714285715,0.03757481586207536,0.3333333333333333,0.49822208557739067,0.16071428571428575,0.03757481586207536,0.34997709883358386
EPTIFIBATIDE,3,1,0.4787952749814926,0.15959842499383087,0.175801231537243,0.13991769547325097,0.0078083494906532,0.3310692300175884,1.9783193303953581,1,0.25,0.25,0.5,0.3333333333333333,0.6117621002228926,0.307803451553148,0.0,0.3214285714285715,0.3214285714285715,0.03757481586207536,0.3333333333333333,0.49822208557739067,0.16071428571428575,0.03757481586207536,0.34997709883358386
PLASMINOGEN,3,1,0.4787952749814926,0.15959842499383087,0.175801231537243,0.13991769547325097,0.0078083494906532,0.3310692300175884,1.6485994419961312,1,0.25,0.25,0.5,0.3333333333333333,0.6117621002228926,0.307803451553148,0.0,0.3214285714285715,0.3214285714285715,0.03129468931500832,0.3333333333333333,0.49822208557739067,0.16071428571428575,0.03129468931500832,0.34966309250623046
"FIBRINOGEN, HUMAN",3,1,0.4787952749814926,0.15959842499383087,0.175801231537243,0.13991769547325097,0.0078083494906532,0.3310692300175884,1.6485994419961312,1,0.25,0.25,0.5,0.3333333333333333,0.6117621002228926,0.307803451553148,0.0,0.3214285714285715,0.3214285714285715,0.03129468931500832,0.3333333333333333,0.49822208557739067,0.16071428571428575,0.03129468931500832,0.34966309250623046
ABCIXIMAB,3,1,0.4787952749814926,0.15959842499383087,0.175801231537243,0.13991769547325097,0.0078083494906532,0.3310692300175884,1.6485994419961312,1,0.25,0.25,0.5,0.3333333333333333,0.6117621002228926,0.307803451553148,0.0,0.3214285714285715,0.3214285714285715,0.03129468931500832,0.3333333333333333,0.49822208557739067,0.16071428571428575,0.03129468931500832,0.34966309250623046
ANCROD,3,1,0.4787952749814926,0.15959842499383087,0.175801231537243,0.13991769547325097,0.0078083494906532,0.3310692300175884,1.2364495814970988,1,0.25,0.25,0.5,0.3333333333333333,0.6117621002228926,0.307803451553148,0.0,0.3214285714285715,0.3214285714285715,0.02344453113117453,0.3333333333333333,0.49822208557739067,0.16071428571428575,0.02344453113117453,0.3492705845970388
