drug,n_targets_in_network,n_hub_targets,sum_centrality,mean_centrality,max_centrality,mean_degree,mean_betweenness,mean_closeness,n_communities_hit,max_module_coverage,mean_module_coverage,n_targets_in_network_norm,n_hub_targets_norm,sum_centrality_norm,mean_centrality_norm,n_communities_hit_norm,max_module_coverage_norm,mean_module_coverage_norm,drug_score
ANTITHROMBIN ALFA,5,1,0.7320776573624337,0.14641553147248673,0.2206464552073358,0.1086419753086419,0.01966823343452052,0.31093638567429777,2,0.26666666666666666,0.19583333333333333,0.11428571428571428,0.08333333333333333,0.11835524648913529,0.2570248306426357,0.16666666666666666,0.3194444444444444,0.32763157894736844,0.15714540881485733
RITONAVIR,2,1,0.4840462189565248,0.2420231094782624,0.3393030571873309,0.17283950617283944,0.16713752005239685,0.38609230220955093,1,0.2,0.2,0.02857142857142857,0.08333333333333333,0.07335787010685017,0.6252915508332508,0.0,0.22222222222222224,0.33684210526315794,0.1558065764876275
VITAMIN B6,2,2,0.3999888724893115,0.19999443624465574,0.2137830817617182,0.17283950617283944,0.06309702035291055,0.3640467822082172,2,0.06666666666666667,0.05714285714285714,0.02857142857142857,0.16666666666666666,0.058108351412806944,0.46340311093606606,0.16666666666666666,0.02777777777777778,0.02105263157894737,0.15486229565313
STREPTOZOCIN,2,2,0.3999888724893115,0.19999443624465574,0.2137830817617182,0.17283950617283944,0.06309702035291055,0.3640467822082172,2,0.06666666666666667,0.05714285714285714,0.02857142857142857,0.16666666666666666,0.058108351412806944,0.46340311093606606,0.16666666666666666,0.02777777777777778,0.02105263157894737,0.15486229565313
VINCRISTINE,3,2,0.5267836869368365,0.17559456231227885,0.2137830817617182,0.11934156378600817,0.0489545830317464,0.3584875401190819,2,0.09523809523809523,0.08095238095238094,0.05714285714285714,0.16666666666666666,0.08111121760463307,0.3694182853232041,0.16666666666666666,0.06944444444444443,0.07368421052631577,0.1538175260019469
EPICATECHIN,2,2,0.3929442297182548,0.1964721148591274,0.2206464552073358,0.1481481481481481,0.056102839964067404,0.38516535646516664,2,0.06666666666666667,0.05714285714285714,0.02857142857142857,0.16666666666666666,0.05683032615808412,0.44983563259216935,0.16666666666666666,0.02777777777777778,0.02105263157894737,0.15257156885060094
WARFARIN,2,2,0.3746527279626201,0.18732636398131006,0.2137830817617182,0.14814814814814808,0.0568919186953219,0.35693902510046005,2,0.06666666666666667,0.05714285714285714,0.02857142857142857,0.16666666666666666,0.05351191783700448,0.4146075079005181,0.16666666666666666,0.02777777777777778,0.02105263157894737,0.1466236684826373
RECOMBINANT CYTOKINE,2,1,0.4205611406676366,0.2102805703338183,0.3393030571873309,0.12962962962962957,0.1653891000053657,0.3358229813664596,2,0.1,0.07380952380952381,0.02857142857142857,0.08333333333333333,0.06184053189850198,0.5030238287020568,0.16666666666666666,0.0763888888888889,0.05789473684210527,0.1455796171929454
NICOTINE POLACRILEX,2,1,0.4189910778698994,0.2094955389349497,0.3393030571873309,0.1358024691358024,0.16978357384428394,0.32290057382476267,2,0.1,0.1,0.02857142857142857,0.08333333333333333,0.06155569418959032,0.5000000000000001,0.16666666666666666,0.0763888888888889,0.11578947368421054,0.1450690753458546
ASPIRIN,2,2,0.3420415990752741,0.17102079953763705,0.172297774510919,0.11111111111111105,0.02960213324782375,0.3723491542539762,2,0.1,0.07380952380952381,0.02857142857142857,0.16666666666666666,0.04759567088772193,0.3518008050870087,0.16666666666666666,0.0763888888888889,0.05789473684210527,0.14088052478186552
THERAPEUTIC CORTICOSTEROID,2,1,0.4281305247876011,0.21406526239380055,0.3393030571873309,0.1358024691358024,0.1653891000053657,0.3410042180402336,1,0.2,0.2,0.02857142857142857,0.08333333333333333,0.06321375469806795,0.5176019213693235,0.0,0.22222222222222224,0.33684210526315794,0.13762430898628195
PEGINTERFERON ALFA-2A,3,1,0.5421861376397008,0.18072871254656694,0.2665861073578441,0.09053497942386823,0.10388330107297529,0.34776785714285713,2,0.1,0.09761904761904762,0.05714285714285714,0.08333333333333333,0.08390549995827629,0.3891942979279051,0.16666666666666666,0.0763888888888889,0.1105263157894737,0.1372038954744918
INTERFERON ALFA-2B,3,1,0.5421861376397008,0.18072871254656694,0.2665861073578441,0.09053497942386823,0.10388330107297529,0.34776785714285713,2,0.1,0.09761904761904762,0.05714285714285714,0.08333333333333333,0.08390549995827629,0.3891942979279051,0.16666666666666666,0.0763888888888889,0.1105263157894737,0.1372038954744918
CHINESE HERBS,1,1,0.2665861073578441,0.2665861073578441,0.2665861073578441,0.1851851851851851,0.192698136888347,0.421875,1,0.047619047619047616,0.047619047619047616,0.0,0.08333333333333333,0.03390668378696936,0.7199047065667444,0.0,0.0,0.0,0.13560037607573885
CLAZAKIZUMAB,1,1,0.2665861073578441,0.2665861073578441,0.2665861073578441,0.1851851851851851,0.192698136888347,0.421875,1,0.047619047619047616,0.047619047619047616,0.0,0.08333333333333333,0.03390668378696936,0.7199047065667444,0.0,0.0,0.0,0.13560037607573885
IMIPENEM-CILASTATIN SODIUM,1,1,0.2665861073578441,0.2665861073578441,0.2665861073578441,0.1851851851851851,0.192698136888347,0.421875,1,0.047619047619047616,0.047619047619047616,0.0,0.08333333333333333,0.03390668378696936,0.7199047065667444,0.0,0.0,0.0,0.13560037607573885
IFOSFAMIDE,1,1,0.2665861073578441,0.2665861073578441,0.2665861073578441,0.1851851851851851,0.192698136888347,0.421875,1,0.047619047619047616,0.047619047619047616,0.0,0.08333333333333333,0.03390668378696936,0.7199047065667444,0.0,0.0,0.0,0.13560037607573885
IBUDILAST,1,1,0.2665861073578441,0.2665861073578441,0.2665861073578441,0.1851851851851851,0.192698136888347,0.421875,1,0.047619047619047616,0.047619047619047616,0.0,0.08333333333333333,0.03390668378696936,0.7199047065667444,0.0,0.0,0.0,0.13560037607573885
CISPLATIN,1,1,0.2665861073578441,0.2665861073578441,0.2665861073578441,0.1851851851851851,0.192698136888347,0.421875,1,0.047619047619047616,0.047619047619047616,0.0,0.08333333333333333,0.03390668378696936,0.7199047065667444,0.0,0.0,0.0,0.13560037607573885
ENZYME INHIBITOR,1,1,0.2665861073578441,0.2665861073578441,0.2665861073578441,0.1851851851851851,0.192698136888347,0.421875,1,0.047619047619047616,0.047619047619047616,0.0,0.08333333333333333,0.03390668378696936,0.7199047065667444,0.0,0.0,0.0,0.13560037607573885
HMG-COA REDUCTASE INHIBITOR,1,1,0.2665861073578441,0.2665861073578441,0.2665861073578441,0.1851851851851851,0.192698136888347,0.421875,1,0.047619047619047616,0.047619047619047616,0.0,0.08333333333333333,0.03390668378696936,0.7199047065667444,0.0,0.0,0.0,0.13560037607573885
GALLIUM NITRATE,1,1,0.2665861073578441,0.2665861073578441,0.2665861073578441,0.1851851851851851,0.192698136888347,0.421875,1,0.047619047619047616,0.047619047619047616,0.0,0.08333333333333333,0.03390668378696936,0.7199047065667444,0.0,0.0,0.0,0.13560037607573885
BIAFINE CREAM,1,1,0.2665861073578441,0.2665861073578441,0.2665861073578441,0.1851851851851851,0.192698136888347,0.421875,1,0.047619047619047616,0.047619047619047616,0.0,0.08333333333333333,0.03390668378696936,0.7199047065667444,0.0,0.0,0.0,0.13560037607573885
PF-04236921,1,1,0.2665861073578441,0.2665861073578441,0.2665861073578441,0.1851851851851851,0.192698136888347,0.421875,1,0.047619047619047616,0.047619047619047616,0.0,0.08333333333333333,0.03390668378696936,0.7199047065667444,0.0,0.0,0.0,0.13560037607573885
GEMFIBROZIL,1,1,0.2665861073578441,0.2665861073578441,0.2665861073578441,0.1851851851851851,0.192698136888347,0.421875,1,0.047619047619047616,0.047619047619047616,0.0,0.08333333333333333,0.03390668378696936,0.7199047065667444,0.0,0.0,0.0,0.13560037607573885
BINETRAKIN,1,1,0.2665861073578441,0.2665861073578441,0.2665861073578441,0.1851851851851851,0.192698136888347,0.421875,1,0.047619047619047616,0.047619047619047616,0.0,0.08333333333333333,0.03390668378696936,0.7199047065667444,0.0,0.0,0.0,0.13560037607573885
ETANERCEPT-SZZS,1,1,0.2665861073578441,0.2665861073578441,0.2665861073578441,0.1851851851851851,0.192698136888347,0.421875,1,0.047619047619047616,0.047619047619047616,0.0,0.08333333333333333,0.03390668378696936,0.7199047065667444,0.0,0.0,0.0,0.13560037607573885
ZILTIVEKIMAB,1,1,0.2665861073578441,0.2665861073578441,0.2665861073578441,0.1851851851851851,0.192698136888347,0.421875,1,0.047619047619047616,0.047619047619047616,0.0,0.08333333333333333,0.03390668378696936,0.7199047065667444,0.0,0.0,0.0,0.13560037607573885
SELENIUM,1,1,0.2665861073578441,0.2665861073578441,0.2665861073578441,0.1851851851851851,0.192698136888347,0.421875,1,0.047619047619047616,0.047619047619047616,0.0,0.08333333333333333,0.03390668378696936,0.7199047065667444,0.0,0.0,0.0,0.13560037607573885
SAQUINAVIR,1,1,0.2665861073578441,0.2665861073578441,0.2665861073578441,0.1851851851851851,0.192698136888347,0.421875,1,0.047619047619047616,0.047619047619047616,0.0,0.08333333333333333,0.03390668378696936,0.7199047065667444,0.0,0.0,0.0,0.13560037607573885
MEDI-5117,1,1,0.2665861073578441,0.2665861073578441,0.2665861073578441,0.1851851851851851,0.192698136888347,0.421875,1,0.047619047619047616,0.047619047619047616,0.0,0.08333333333333333,0.03390668378696936,0.7199047065667444,0.0,0.0,0.0,0.13560037607573885
VITAMIN A PALMITATE,1,1,0.2665861073578441,0.2665861073578441,0.2665861073578441,0.1851851851851851,0.192698136888347,0.421875,1,0.047619047619047616,0.047619047619047616,0.0,0.08333333333333333,0.03390668378696936,0.7199047065667444,0.0,0.0,0.0,0.13560037607573885
ECHINACEA PREPARATION,1,1,0.2665861073578441,0.2665861073578441,0.2665861073578441,0.1851851851851851,0.192698136888347,0.421875,1,0.047619047619047616,0.047619047619047616,0.0,0.08333333333333333,0.03390668378696936,0.7199047065667444,0.0,0.0,0.0,0.13560037607573885
ADALIMUMAB-ADBM,1,1,0.2665861073578441,0.2665861073578441,0.2665861073578441,0.1851851851851851,0.192698136888347,0.421875,1,0.047619047619047616,0.047619047619047616,0.0,0.08333333333333333,0.03390668378696936,0.7199047065667444,0.0,0.0,0.0,0.13560037607573885
