drug,community,targets_in_module,module_size,module_coverage
DISOPYRAMIDE,6,1,9,0.1111111111111111
DISOPYRAMIDE PHOSPHATE,6,2,9,0.2222222222222222
DIURETIC,1,1,19,0.05263157894736842
DOCETAXEL ANHYDROUS,1,1,19,0.05263157894736842
DOMITROBAN,5,1,8,0.125
DONEPEZIL,5,1,8,0.125
DORAMAPIMOD,1,1,19,0.05263157894736842
DOVITINIB,1,1,19,0.05263157894736842
DOVITINIB LACTATE,1,1,19,0.05263157894736842
DOXORUBICIN HYDROCHLORIDE,1,2,19,0.10526315789473684
DOXORUBICIN HYDROCHLORIDE,2,1,12,0.08333333333333333
DPOC-4088,2,1,12,0.08333333333333333
DROLOXIFENE,1,1,19,0.05263157894736842
DRONEDARONE HYDROCHLORIDE,6,2,9,0.2222222222222222
DROTRECOGIN ALFA,2,1,12,0.08333333333333333
DROTRECOGIN ALFA (ACTIVATED),2,1,12,0.08333333333333333
DS-7423,2,1,12,0.08333333333333333
DSP-2230,6,1,9,0.1111111111111111
DULOXETINE HYDROCHLORIDE,1,1,19,0.05263157894736842
DUTEPLASE,2,1,12,0.08333333333333333
DUVELISIB,2,1,12,0.08333333333333333
DYCLONINE,6,2,9,0.2222222222222222
DYCLONINE HYDROCHLORIDE,6,2,9,0.2222222222222222
ECF309,2,1,12,0.08333333333333333
ECHINACEA PREPARATION,1,1,19,0.05263157894736842
ECULIZUMAB,4,1,6,0.16666666666666666
EGANELISIB,2,1,12,0.08333333333333333
EGAPTIVON PEGOL,2,1,12,0.08333333333333333
ELSILIMOMAB,1,1,19,0.05263157894736842
ELTROMBOPAG,2,1,12,0.08333333333333333
EMICIZUMAB,2,1,12,0.08333333333333333
ENCAINIDE,6,1,9,0.1111111111111111
ENCAINIDE HYDROCHLORIDE,6,2,9,0.2222222222222222
ENLIMOMAB,1,1,19,0.05263157894736842
ENLIMOMAB PEGOL,1,1,19,0.05263157894736842
ENMD-981693,1,1,19,0.05263157894736842
ENOXAPARIN SODIUM,2,1,12,0.08333333333333333
ENPROSTIL,5,1,8,0.125
ENZASTAURIN,6,1,9,0.1111111111111111
ENZYME INHIBITOR,1,1,19,0.05263157894736842
EP 171,5,1,8,0.125
EP-217609,2,1,12,0.08333333333333333
EP-7041,2,1,12,0.08333333333333333
EPERISONE,1,1,19,0.05263157894736842
EPICATECHIN,1,1,19,0.05263157894736842
EPICATECHIN,2,1,12,0.08333333333333333
EPIRUBICIN,3,1,9,0.1111111111111111
EPOETIN ALFA,1,1,19,0.05263157894736842
EPOETIN ALFA,3,1,9,0.1111111111111111
EPOETIN ALFA,5,1,8,0.125
EPTIFIBATIDE,2,3,12,0.25
ERIBULIN MESYLATE,1,1,19,0.05263157894736842
ERTEBEREL,1,1,19,0.05263157894736842
ESLICARBAZEPINE,6,2,9,0.2222222222222222
ESLICARBAZEPINE ACETATE,6,2,9,0.2222222222222222
ESTETROL,1,1,19,0.05263157894736842
ESTRADIOL VALERATE,1,2,19,0.10526315789473684
ESTRAMUSTINE PHOSPHATE SODIUM,1,1,19,0.05263157894736842
ESTRIOL,1,1,19,0.05263157894736842
ESTROGEN,1,1,19,0.05263157894736842
ESTROGENS,2,1,12,0.08333333333333333
"ESTROGENS, CONJUGATED (USP)",1,1,19,0.05263157894736842
"ESTROGENS, CONJUGATED SYNTHETIC A",1,1,19,0.05263157894736842
"ESTROGENS, ESTERIFIED (USP)",1,1,19,0.05263157894736842
ESTRONE,1,1,19,0.05263157894736842
ETANERCEPT-SZZS,1,1,19,0.05263157894736842
ETHINYL ESTRADIOL,1,1,19,0.05263157894736842
ETHOTOIN,6,2,9,0.2222222222222222
ETIDOCAINE HYDROCHLORIDE,6,2,9,0.2222222222222222
EVENAMIDE,6,2,9,0.2222222222222222
EVEROLIMUS,1,1,19,0.05263157894736842
